Хозяева,Гости,Первые,Вторые
Трактор,Куньлунь РС,3,1
Ак Барс,СКА,3,2
Нефтехимик,Витязь,4,3
Северсталь,Сибирь,2,1
Авангард,Амур,8,2
Динамо М,Спартак,1,3
ЦСКА,Барыс,3,1
Динамо Мн,Салават Юлаев,3,4
Автомобилист,Куньлунь РС,7,0
Трактор,ХК Сочи,2,3
Торпедо НН,СКА,4,6
Динамо Р,Витязь,4,3
Металлург Мг,Амур,3,1
Динамо М,Локомотив,2,3
Спартак,Салават Юлаев,5,3
Йокерит,Нефтехимик,6,0
Динамо Мн,Ак Барс,4,5
Сибирь,ЦСКА,1,2
Барыс,Куньлунь РС,3,2
Автомобилист,Торпедо НН,3,4
Металлург Мг,Авангард,0,4
СКА,Локомотив,4,2
Амур,ЦСКА,1,5
Сибирь,Куньлунь РС,5,4
Барыс,Динамо М,4,5
Металлург Мг,Торпедо НН,3,1
Салават Юлаев,Авангард,3,2
Локомотив,Трактор,2,1
Витязь,Северсталь,2,1
СКА,Нефтехимик,5,2
Спартак,Динамо Мн,3,4
ХК Сочи,Ак Барс,0,4
Амур,Динамо М,2,4
Сибирь,Динамо Р,4,3
Барыс,ЦСКА,1,2
Салават Юлаев,Торпедо НН,6,2
Нефтехимик,Автомобилист,3,6
Авангард,СКА,4,3
Витязь,Динамо Мн,2,4
Спартак,Трактор,1,2
ХК Сочи,Металлург Мг,0,1
Амур,Динамо Р,2,1
Сибирь,Динамо М,2,4
Ак Барс,Салават Юлаев,4,1
Куньлунь РС,Автомобилист,2,5
Торпедо НН,Северсталь,3,4
Витязь,Трактор,1,3
Спартак,СКА,0,2
Нефтехимик,Авангард,1,2
Куньлунь РС,Салават Юлаев,2,3
ЦСКА,Металлург Мг,2,4
Автомобилист,Авангард,4,3
Трактор,Амур,5,0
Ак Барс,ХК Сочи,5,3
Динамо М,Спартак,5,0
СКА,Торпедо НН,2,1
Динамо Мн,Сибирь,5,4
Автомобилист,Витязь,3,4
Салават Юлаев,ХК Сочи,2,3
Трактор,Северсталь,0,1
Ак Барс,Авангард,2,1
Нефтехимик,Амур,3,2
СКА,Сибирь,1,4
Металлург Мг,Витязь,1,4
Салават Юлаев,Трактор,3,1
Торпедо НН,Амур,2,3
ХК Сочи,Динамо М,2,3
ЦСКА,Северсталь,5,0
Автомобилист,Динамо Мн,3,4
Локомотив,Нефтехимик,2,3
Авангард,Куньлунь РС,3,1
СКА,Ак Барс,2,3
Йокерит,Сибирь,5,2
Салават Юлаев,Витязь,6,5
Спартак,Амур,3,1
Трактор,Динамо Мн,2,3
Северсталь,Ак Барс,3,2
Торпедо НН,Нефтехимик,5,1
Авангард,Металлург Мг,2,0
Йокерит,ЦСКА,2,4
Сибирь,Автомобилист,6,4
Спартак,Динамо М,5,4
Куньлунь РС,Нефтехимик,3,4
Локомотив,Металлург Мг,3,4
Северсталь,Динамо Мн,1,4
Торпедо НН,Ак Барс,4,2
Авангард,Йокерит,3,2
ХК Сочи,Трактор,2,4
Сибирь,СКА,4,6
Салават Юлаев,Автомобилист,1,4
Локомотив,Ак Барс,4,3
Северсталь,Йокерит,2,5
Авангард,Витязь,1,2
Динамо М,Трактор,2,4
Спартак,ЦСКА,4,5
Динамо Р,Динамо Мн,4,3
Амур,СКА,1,3
Сибирь,Торпедо НН,4,2
Металлург Мг,Автомобилист,2,3
Локомотив,Йокерит,2,3
Нефтехимик,Салават Юлаев,1,4
Витязь,Динамо Р,6,1
Амур,Торпедо НН,2,3
Барыс,СКА,3,2
Динамо М,Куньлунь РС,6,3
ЦСКА,Авангард,4,2
Ак Барс,Салават Юлаев,4,1
Нефтехимик,Металлург Мг,1,4
ХК Сочи,Динамо Р,4,2
Амур,Торпедо НН,2,1
Сибирь,Северсталь,2,3
Витязь,Локомотив,0,5
ЦСКА,Динамо М,2,0
Йокерит,Спартак,7,1
Автомобилист,Барыс,3,2
Трактор,Куньлунь РС,4,2
СКА,Металлург Мг,1,4
Динамо Мн,ХК Сочи,1,2
Амур,Северсталь,3,1
Салават Юлаев,Сибирь,4,3
Витязь,Ак Барс,2,3
Спартак,Локомотив,1,2
Автомобилист,Металлург Мг,3,4
СКА,ХК Сочи,4,3
Йокерит,Динамо Р,4,1
Динамо Мн,Куньлунь РС,2,0
Барыс,Северсталь,2,3
Салават Юлаев,ЦСКА,2,4
Локомотив,Динамо М,3,2
Нефтехимик,Ак Барс,3,2
Авангард,Сибирь,4,0
Автомобилист,Трактор,3,1
Динамо Мн,Динамо Р,4,3
Металлург Мг,ЦСКА,6,4
Салават Юлаев,Барыс,2,3
Торпедо НН,Сибирь,3,2
Витязь,Амур,6,3
СКА,Динамо М,3,4
Спартак,Куньлунь РС,6,4
ХК Сочи,Авангард,2,7
Йокерит,Локомотив,2,4
Ак Барс,Трактор,2,3
Металлург Мг,Авангард,3,0
Ак Барс,Амур,4,0
Витязь,Автомобилист,3,4
Спартак,Барыс,2,3
ХК Сочи,СКА,1,4
Йокерит,ЦСКА,5,2
Динамо Р,Локомотив,2,3
Куньлунь РС,Салават Юлаев,5,3
Северсталь,Трактор,0,4
Динамо Мн,Локомотив,0,1
Металлург Мг,Нефтехимик,3,4
Ак Барс,Барыс,0,1
Торпедо НН,Автомобилист,2,3
ХК Сочи,Амур,3,4
ЦСКА,СКА,3,1
Сибирь,Йокерит,3,4
Авангард,Салават Юлаев,3,4
Трактор,Нефтехимик,6,3
Северсталь,Автомобилист,2,1
ЦСКА,Динамо М,2,1
Динамо Мн,Спартак,0,3
Амур,Йокерит,4,1
Сибирь,Ак Барс,1,3
Куньлунь РС,Торпедо НН,3,1
СКА,Витязь,5,1
ХК Сочи,Салават Юлаев,0,2
Локомотив,Спартак,1,0
Амур,Ак Барс,7,1
Сибирь,Трактор,3,1
Барыс,Йокерит,4,5
Куньлунь РС,Металлург Мг,6,4
Северсталь,ХК Сочи,2,0
Витязь,Салават Юлаев,4,3
Динамо М,Динамо Мн,5,2
ЦСКА,Торпедо НН,2,3
Нефтехимик,Автомобилист,2,5
СКА,Спартак,1,4
Амур,Трактор,2,4
Барыс,Ак Барс,1,3
Северсталь,Металлург Мг,4,5
Витязь,ХК Сочи,2,5
ЦСКА,Динамо Мн,5,1
Нефтехимик,Локомотив,1,5
Авангард,Автомобилист,6,3
Амур,Трактор,1,2
Куньлунь РС,ЦСКА,2,3
Спартак,ХК Сочи,4,1
Динамо Мн,Северсталь,1,2
Сибирь,Барыс,3,1
Металлург Мг,Торпедо НН,2,3
Салават Юлаев,Локомотив,0,5
Динамо М,Витязь,1,5
СКА,Авангард,5,2
Ак Барс,Нефтехимик,3,2
Спартак,Северсталь,3,4
ХК Сочи,Барыс,3,0
Автомобилист,Локомотив,1,0
Металлург Мг,Сибирь,0,3
Салават Юлаев,Амур,4,1
Трактор,Торпедо НН,4,1
Динамо М,Авангард,3,2
СКА,Куньлунь РС,1,2
Динамо Мн,Динамо Р,3,0
Спартак,ЦСКА,2,3
Барыс,Куньлунь РС,2,1
Металлург Мг,Салават Юлаев,1,4
Трактор,Динамо Р,5,1
Ак Барс,Сибирь,5,3
Локомотив,Динамо М,3,2
Нефтехимик,Амур,1,3
Северсталь,Витязь,0,3
Торпедо НН,Динамо Мн,6,3
Автомобилист,Динамо Р,7,2
Металлург Мг,Трактор,4,1
Салават Юлаев,Куньлунь РС,3,2
Локомотив,Динамо Мн,4,1
Нефтехимик,Сибирь,1,3
Северсталь,Йокерит,5,2
Торпедо НН,Амур,3,4
Динамо М,ЦСКА,4,3
Спартак,Авангард,2,1
ХК Сочи,Витязь,3,4
Барыс,Динамо Р,3,0
ХК Сочи,Йокерит,4,5
Динамо Р,Нефтехимик,1,3
Северсталь,Барыс,1,3
Трактор,Металлург Мг,2,1
Локомотив,Барыс,7,2
Нефтехимик,Куньлунь РС,6,3
Торпедо НН,Ак Барс,2,6
Авангард,ХК Сочи,3,2
Витязь,Динамо М,1,2
ЦСКА,Спартак,3,4
Йокерит,СКА,1,4
Сибирь,Динамо Мн,0,6
Трактор,Ак Барс,2,1
Локомотив,Автомобилист,1,2
Нефтехимик,Барыс,1,2
Торпедо НН,Куньлунь РС,2,0
Витязь,СКА,1,8
Динамо М,Северсталь,2,3
ЦСКА,Салават Юлаев,5,3
Динамо Р,ХК Сочи,1,3
Амур,Динамо Мн,1,2
Сибирь,Авангард,1,4
Ак Барс,Нефтехимик,3,2
Куньлунь РС,Трактор,3,5
Северсталь,СКА,0,2
Витязь,Спартак,3,7
Динамо М,Салават Юлаев,3,4
ЦСКА,ХК Сочи,7,0
Динамо Р,Автомобилист,2,3
Амур,Авангард,2,1
Сибирь,Металлург Мг,3,2
Барыс,Динамо Мн,1,4
Ак Барс,Автомобилист,3,0
Витязь,Спартак,1,3
Динамо М,Нефтехимик,3,0
СКА,Салават Юлаев,3,2
ЦСКА,Локомотив,3,1
Йокерит,Трактор,1,3
Динамо Р,Куньлунь РС,5,3
Амур,Авангард,2,3
Сибирь,Торпедо НН,3,1
Барыс,Металлург Мг,1,2
СКА,Трактор,0,1
Спартак,Северсталь,4,3
Локомотив,Йокерит,1,4
Амур,Металлург Мг,2,1
Барыс,Авангард,2,5
Ак Барс,Торпедо НН,7,5
Нефтехимик,ЦСКА,2,4
Динамо М,Динамо Р,6,1
Динамо Мн,ХК Сочи,3,2
Салават Юлаев,Спартак,2,1
Витязь,Северсталь,4,1
Автомобилист,Торпедо НН,2,3
Куньлунь РС,Ак Барс,2,5
Локомотив,Динамо Р,3,1
Йокерит,ХК Сочи,3,0
Динамо Мн,ЦСКА,1,5
Металлург Мг,Северсталь,1,4
Салават Юлаев,Барыс,4,1
Трактор,Динамо М,2,5
Нефтехимик,Спартак,5,2
СКА,Амур,5,3
Куньлунь РС,Динамо Р,4,5
Авангард,Ак Барс,3,0
ЦСКА,Сибирь,1,5
Куньлунь РС,Амур,2,4
Северсталь,Витязь,2,1
Торпедо НН,Автомобилист,5,1
СКА,Барыс,4,3
ХК Сочи,Спартак,3,5
Йокерит,Динамо М,6,1
Динамо Мн,Локомотив,2,1
Металлург Мг,Ак Барс,2,3
Салават Юлаев,Нефтехимик,6,2
Динамо Р,Сибирь,2,3
Трактор,Автомобилист,4,3
Северсталь,СКА,2,3
Торпедо НН,Йокерит,3,2
Авангард,Амур,4,2
Динамо М,Локомотив,4,3
ХК Сочи,ЦСКА,1,4
Динамо Мн,Витязь,4,3
Металлург Мг,Нефтехимик,6,4
Куньлунь РС,Сибирь,1,0
Автомобилист,ЦСКА,1,5
Салават Юлаев,СКА,2,3
Витязь,Йокерит,4,3
Динамо М,Амур,3,2
ХК Сочи,Динамо Р,3,2
Барыс,Спартак,2,1
Ак Барс,Северсталь,5,2
Куньлунь РС,Авангард,1,2
Локомотив,Динамо Мн,3,2
Нефтехимик,Трактор,5,3
Торпедо НН,Металлург Мг,2,4
Автомобилист,Салават Юлаев,0,1
Витязь,Динамо Р,4,1
СКА,Йокерит,1,2
Сибирь,Спартак,2,0
Барыс,ХК Сочи,2,0
Локомотив,Северсталь,5,1
Нефтехимик,Динамо Мн,1,5
Торпедо НН,Трактор,2,0
Авангард,Ак Барс,3,0
Динамо М,Металлург Мг,2,6
ЦСКА,Куньлунь РС,3,2
Йокерит,Салават Юлаев,3,1
Амур,Спартак,6,2
Сибирь,ХК Сочи,2,1
Автомобилист,Динамо М,2,7
Металлург Мг,СКА,2,1
Нефтехимик,Ак Барс,1,6
Витязь,Торпедо НН,2,3
ЦСКА,Динамо Мн,2,4
Динамо Р,Трактор,3,4
Барыс,Локомотив,3,1
Динамо Р,Северсталь,3,4
Амур,ХК Сочи,2,3
Салават Юлаев,Динамо М,0,3
Трактор,СКА,1,5
Куньлунь РС,Торпедо НН,4,5
Сибирь,Локомотив,3,4
Барыс,Витязь,3,2
Ак Барс,Автомобилист,2,0
Северсталь,Авангард,2,1
Салават Юлаев,Металлург Мг,1,3
Нефтехимик,Куньлунь РС,4,5
СКА,Динамо Р,3,4
Спартак,Йокерит,3,2
Амур,Локомотив,3,4
Сибирь,Витязь,1,2
Торпедо НН,ЦСКА,1,2
Авангард,Автомобилист,3,1
Трактор,Йокерит,2,5
Ак Барс,Металлург Мг,3,0
Северсталь,Динамо Р,4,2
Спартак,Нефтехимик,4,2
ХК Сочи,Куньлунь РС,3,4
Динамо Мн,Динамо М,2,3
Амур,Витязь,3,1
Авангард,ЦСКА,1,4
СКА,Автомобилист,7,2
Барыс,Торпедо НН,2,3
Металлург Мг,Динамо М,3,1
Салават Юлаев,Йокерит,0,3
Трактор,Сибирь,2,0
Ак Барс,Динамо Мн,7,2
Северсталь,Спартак,4,3
ХК Сочи,Нефтехимик,4,2
Динамо Р,СКА,1,4
ЦСКА,Локомотив,3,2
Металлург Мг,Автомобилист,0,4
Салават Юлаев,Сибирь,3,1
Трактор,Барыс,2,4
Ак Барс,Йокерит,4,1
Куньлунь РС,Динамо Мн,2,3
Нефтехимик,Динамо М,2,3
Северсталь,Торпедо НН,3,0
Витязь,Авангард,4,3
ХК Сочи,Спартак,3,4
Йокерит,Ак Барс,1,4
Динамо Р,Торпедо НН,4,6
Куньлунь РС,Барыс,1,2
Витязь,Йокерит,2,1
Куньлунь РС,Авангард,1,5
Торпедо НН,Барыс,2,3
Динамо Р,ХК Сочи,5,6
Сибирь,Амур,3,2
Автомобилист,Трактор,2,3
Салават Юлаев,Динамо Мн,8,3
Локомотив,Северсталь,2,1
Динамо М,Йокерит,4,0
СКА,ЦСКА,4,3
Спартак,Ак Барс,0,3
Торпедо НН,ХК Сочи,4,1
Авангард,Барыс,1,3
Спартак,Витязь,5,3
Сибирь,Амур,3,2
Автомобилист,Салават Юлаев,3,2
Металлург Мг,Динамо Мн,3,2
Нефтехимик,Трактор,2,3
Динамо М,Ак Барс,2,7
СКА,Северсталь,2,0
Локомотив,ХК Сочи,6,3
Сибирь,Салават Юлаев,1,3
Барыс,Амур,5,2
Автомобилист,Нефтехимик,3,0
Куньлунь РС,Трактор,4,3
Авангард,Спартак,2,3
Динамо М,СКА,2,1
Йокерит,Северсталь,4,3
Динамо Мн,Динамо Р,3,2
Витязь,ЦСКА,2,1
Барыс,Сибирь,1,3
Автомобилист,Амур,3,0
Салават Юлаев,Металлург Мг,4,2
Северсталь,Нефтехимик,7,2
Торпедо НН,Динамо Р,3,2
Авангард,Трактор,5,3
Спартак,Динамо М,0,6
ХК Сочи,СКА,1,4
Йокерит,Локомотив,4,3
Барыс,Металлург Мг,3,2
Торпедо НН,Локомотив,6,5
Авангард,Куньлунь РС,3,4
Витязь,Динамо М,1,5
Спартак,Динамо Р,2,5
ХК Сочи,Северсталь,6,2
Йокерит,СКА,2,1
Динамо Мн,Нефтехимик,4,5
Салават Юлаев,Автомобилист,1,0
Локомотив,Витязь,7,1
Нефтехимик,Сибирь,3,0
ХК Сочи,Торпедо НН,2,5
ЦСКА,Йокерит,5,4
Динамо Мн,Авангард,5,4
Амур,Барыс,4,5
Металлург Мг,Спартак,4,3
Динамо Р,Динамо М,5,4
Салават Юлаев,Авангард,5,6
Куньлунь РС,Северсталь,2,4
Локомотив,Сибирь,3,2
Нефтехимик,Торпедо НН,1,0
ХК Сочи,Йокерит,0,5
ЦСКА,Автомобилист,1,2
Динамо Мн,СКА,4,3
Амур,Барыс,5,1
Трактор,Спартак,2,6
Ак Барс,Динамо М,2,1
Куньлунь РС,Сибирь,1,6
Локомотив,СКА,4,1
Торпедо НН,Металлург Мг,2,3
Авангард,Северсталь,4,3
Динамо Р,Динамо Мн,2,6
Автомобилист,Барыс,2,3
Ак Барс,Трактор,3,2
Витязь,ХК Сочи,4,2
ЦСКА,Нефтехимик,6,1
Йокерит,Спартак,1,4
Авангард,Металлург Мг,4,2
Динамо М,Динамо Мн,2,0
Динамо Р,Локомотив,1,4
Йокерит,Автомобилист,3,2
Амур,Куньлунь РС,5,4
Салават Юлаев,Ак Барс,7,3
Северсталь,ХК Сочи,4,2
Торпедо НН,Трактор,3,2
Витязь,Нефтехимик,3,0
СКА,ЦСКА,2,3
Автомобилист,Йокерит,2,0
Спартак,Локомотив,4,3
Динамо Мн,Металлург Мг,2,4
Амур,Куньлунь РС,3,1
Сибирь,Салават Юлаев,1,3
Барыс,Ак Барс,2,4
Динамо М,Витязь,2,1
СКА,ХК Сочи,3,1
Динамо Р,ЦСКА,1,7
Нефтехимик,Йокерит,3,2
Авангард,Торпедо НН,3,5
Спартак,Автомобилист,0,1
Сибирь,Куньлунь РС,1,3
Барыс,Салават Юлаев,3,6
Трактор,Витязь,2,1
Локомотив,ЦСКА,3,0
Ак Барс,Авангард,3,1
Северсталь,Динамо Р,3,2
Динамо М,Торпедо НН,5,3
Спартак,Йокерит,1,3
Динамо Мн,Автомобилист,1,2
Металлург Мг,Салават Юлаев,3,2
ХК Сочи,Витязь,1,2
Барыс,Амур,3,2
Автомобилист,Авангард,4,1
Трактор,Локомотив,4,0
Ак Барс,Торпедо НН,2,0
Нефтехимик,Динамо Р,3,2
Северсталь,Динамо Мн,1,2
Динамо М,Сибирь,3,4
ЦСКА,СКА,3,1
Автомобилист,СКА,1,3
Металлург Мг,Локомотив,4,1
Салават Юлаев,Северсталь,4,2
Трактор,Авангард,2,3
Ак Барс,Динамо Р,4,5
Куньлунь РС,Амур,2,3
Торпедо НН,Нефтехимик,7,1
Витязь,Сибирь,3,1
ХК Сочи,Динамо Мн,2,3
ЦСКА,Спартак,2,1
Йокерит,Барыс,1,4
Автомобилист,Северсталь,3,6
Металлург Мг,Динамо Р,5,3
Трактор,Салават Юлаев,2,1
Ак Барс,Локомотив,3,4
Куньлунь РС,Нефтехимик,5,6
Витязь,СКА,1,3
Динамо М,Барыс,0,2
ХК Сочи,Сибирь,3,0
ЦСКА,Амур,3,2
ХК Сочи,Локомотив,1,5
ЦСКА,Йокерит,1,3
Витязь,Барыс,4,5
Динамо М,Динамо Р,5,2
Витязь,Куньлунь РС,3,0
Спартак,Торпедо НН,3,2
Йокерит,Авангард,2,5
Динамо Мн,Северсталь,2,1
Амур,Салават Юлаев,1,2
Сибирь,Нефтехимик,6,4
Барыс,Трактор,2,3
Автомобилист,Металлург Мг,3,5
Локомотив,Куньлунь РС,3,2
Динамо М,ЦСКА,4,1
СКА,Северсталь,4,1
Йокерит,ХК Сочи,3,2
Динамо Мн,Торпедо НН,1,3
Динамо Р,Авангард,1,2
Амур,Салават Юлаев,2,3
Сибирь,Трактор,3,2
Барыс,Нефтехимик,4,1
Автомобилист,Ак Барс,1,3
Спартак,Металлург Мг,1,3
Локомотив,Авангард,3,2
Динамо М,ХК Сочи,4,0
Йокерит,Торпедо НН,4,1
Динамо Мн,ЦСКА,2,4
Динамо Р,Северсталь,2,3
Йокерит,Металлург Мг,1,5
Барыс,Салават Юлаев,2,3
Ак Барс,Куньлунь РС,3,1
Спартак,СКА,0,5
Амур,Сибирь,3,1
Нефтехимик,ХК Сочи,1,4
Авангард,Локомотив,4,2
Динамо Мн,Витязь,5,4
Барыс,Автомобилист,2,3
Трактор,Ак Барс,2,3
Торпедо НН,Куньлунь РС,3,0
Динамо М,СКА,2,0
Амур,Сибирь,3,1
Северсталь,Локомотив,4,2
Авангард,Динамо Мн,3,1
ЦСКА,Динамо Р,4,3
Металлург Мг,Барыс,3,1
Автомобилист,Ак Барс,2,3
Трактор,Нефтехимик,5,3
Куньлунь РС,Спартак,3,5
Торпедо НН,Витязь,6,3
Динамо М,Йокерит,5,1
Салават Юлаев,Динамо Р,5,4
СКА,Локомотив,3,2
Витязь,Динамо Мн,3,1
Сибирь,Барыс,2,3
Автомобилист,Нефтехимик,4,3
Металлург Мг,Ак Барс,3,0
Трактор,Амур,3,2
Куньлунь РС,Йокерит,1,2
Северсталь,Спартак,5,2
Торпедо НН,Динамо М,3,2
ХК Сочи,ЦСКА,0,2
Металлург Мг,Барыс,3,2
Салават Юлаев,Амур,4,0
Трактор,ЦСКА,2,3
Куньлунь РС,Витязь,4,5
Северсталь,Динамо М,2,5
Авангард,Нефтехимик,4,2
СКА,Йокерит,3,2
ХК Сочи,Динамо Мн,3,4
Динамо Р,Спартак,1,2
Йокерит,Северсталь,1,2
Авангард,Динамо Р,5,1
Йокерит,Куньлунь РС,4,5
Металлург Мг,Йокерит,2,5
Динамо Р,Ак Барс,3,4
Амур,Автомобилист,2,1
Сибирь,Нефтехимик,2,1
Барыс,Авангард,3,2
Трактор,Металлург Мг,4,3
Куньлунь РС,ХК Сочи,4,2
Северсталь,Локомотив,2,3
СКА,Спартак,3,1
ЦСКА,Витязь,3,1
Динамо Мн,Динамо М,4,6
Амур,Нефтехимик,1,2
Сибирь,Авангард,0,3
Барыс,Автомобилист,2,1
Салават Юлаев,Ак Барс,3,2
Локомотив,Динамо Р,5,1
Северсталь,Куньлунь РС,3,1
Торпедо НН,Спартак,2,3
Витязь,Металлург Мг,1,2
СКА,Динамо М,1,3
ЦСКА,Трактор,1,2
Йокерит,Динамо Мн,2,3
Амур,Нефтехимик,3,0
Салават Юлаев,Куньлунь РС,5,4
Ак Барс,Спартак,2,3
Локомотив,СКА,2,1
Торпедо НН,Авангард,2,3
ЦСКА,Динамо Р,1,4
Йокерит,Динамо М,4,5
Динамо Мн,Трактор,3,2
Барыс,Сибирь,1,5
Автомобилист,ХК Сочи,4,3
Куньлунь РС,СКА,3,4
Йокерит,Витязь,5,1
Йокерит,Витязь,3,2
Трактор,Сибирь,2,4
Ак Барс,Барыс,4,3
Локомотив,Торпедо НН,4,1
Нефтехимик,Металлург Мг,1,0
Северсталь,ЦСКА,0,3
Динамо М,Автомобилист,6,0
Спартак,ХК Сочи,6,1
Динамо Мн,Амур,5,6
Динамо Р,Салават Юлаев,1,3
СКА,Витязь,4,0
Трактор,Торпедо НН,3,2
Ак Барс,Металлург Мг,2,3
Куньлунь РС,Барыс,0,3
Локомотив,ЦСКА,2,3
Нефтехимик,Северсталь,2,3
Авангард,Салават Юлаев,1,2
Спартак,Сибирь,2,3
ХК Сочи,Автомобилист,0,3
Йокерит,Амур,4,3
Динамо Р,Динамо Мн,1,2
Автомобилист,Сибирь,0,4
Металлург Мг,Трактор,2,3
Ак Барс,ЦСКА,0,1
Куньлунь РС,Динамо М,1,5
Локомотив,Салават Юлаев,4,1
Нефтехимик,Торпедо НН,3,2
Авангард,Барыс,5,2
СКА,Динамо Мн,4,2
Спартак,Витязь,3,5
ХК Сочи,Северсталь,2,4
Динамо Р,Амур,2,3